pathrow,year,month
132033,1999,08
132034,1999,08
132035,1999,08
132036,2001,07
132037,2001,10
132038,2001,11
132039,2000,10
132040,2000,12
132041,2000,12
133033,1999,07
133034,2000,08
133035,2001,07
133036,2002,07
133037,2002,07
133038,2002,07
133039,2001,12
133040,2001,12
133041,1999,10
134033,2001,07
134034,2000,06
134035,2001,07
134036,2001,07
134037,2001,07
134038,2001,10
134039,2001,10
134040,2001,10
134041,2001,10
135033,1999,09
135034,1999,09
135035,1999,07
135036,2000,08
135037,1999,09
135038,1999,09
135039,1999,09
135040,2001,11
135041,2000,11
136033,2000,07
136034,2001,10
136035,1999,09
136036,2000,08
136037,1999,09
136038,2001,10
136039,2001,10
136040,2001,12
136041,2001,12
137033,2001,10
137034,2001,10
137035,2001,01
137036,2001,07
137037,2001,07
137038,2000,12
137039,2000,12
137040,2000,12
137041,2000,12
138033,2001,10
138034,2002,05
138035,2002,05
138036,2001,10
138037,2002,05
138038,2001,06
138039,2000,12
138040,2000,11
138041,2001,11
139033,2001,10
139034,2000,11
139035,2000,10
139036,2001,09
139037,2000,10
139038,1999,09
139039,2000,11
139040,2000,11
139041,2000,12
140033,2001,10
140034,2001,10
140035,1999,08
140036,1999,08
140037,1999,08
140038,2000,10
140039,2000,10
140040,2000,10
140041,2000,10
141033,2001,10
141034,2001,10
141035,1999,09
141036,1999,09
141037,2001,09
141038,2001,09
141039,2001,09
141040,2000,11
141041,2001,12
142033,2001,07
142034,2001,09
142035,2001,07
142036,2002,05
142037,2000,10
142038,2000,10
142039,2000,09
142040,1999,12
143033,2000,09
143034,1999,09
143035,2000,11
143036,2001,09
143037,2001,09
143038,2001,10
143039,2000,10
143040,2001,12
144034,2001,11
144035,1999,09
144036,2001,10
144037,1999,11
144038,1999,11
144039,2001,10
145035,1999,10
145036,2001,10
145037,2001,10
145038,2000,11
145039,2000,09
146035,1999,10
146036,2000,10
146037,2000,10
146038,2000,06
147035,2000,10
147036,2000,10
147037,2000,10
147038,2000,10
148035,2001,05
148036,1999,07
148037,2000,10
148038,2000,10
